,Sector_score,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk
300,55.57,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.4877219293973267
301,3.41,1.15,0.4,0.46,20.1,0.6,12.06,21.25,6.0,0.6,3.6,21.45,0.6,12.87,2,0.2,0.4,0,0.2,0.0,4.6,29.39,0.4,0.5,7.1423463449599245
302,2.37,3.42,0.6,2.052,10.55,0.6,6.33,13.97,5.0,0.2,1.0,6.96,0.4,2.784,2,0.2,0.4,0,0.2,0.0,3.8,12.566,0.4,0.5,2.0328872342665076
303,55.57,0.68,0.2,0.136,1.47,0.4,0.588,2.15,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.6,2.124,0.4,0.5,-0.33580776768816545
304,55.57,0.75,0.2,0.15,0.45,0.2,0.09,1.2,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.64,0.4,0.5,-0.15403837306481583
305,1.99,0.77,0.2,0.154,0.0,0.2,0.0,0.77,5.0,0.2,1.0,0.0,0.2,0.0,4,0.2,0.8,0,0.2,0.0,2.2,1.954,0.8,0.5,2.3354723936531867
306,2.37,1.07,0.4,0.428,0.59,0.2,0.118,1.66,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.946,0.4,0.5,-0.5379024016670511
307,3.89,0.0,0.2,0.0,1.1,0.2,0.22,1.1,5.0,0.2,1.0,0.0,0.2,0.0,6,0.2,1.2,0,0.2,0.0,2.4,2.42,1.2,0.5,5.809534909353642
308,59.85,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,3.3,0.2,0.66,2,0.2,0.4,0,0.2,0.0,2.0,2.06,0.4,0.5,0.8057131578004499
309,55.57,0.17,0.2,0.034,0.0,0.2,0.0,0.17,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.434,0.4,0.5,0.34312407420727986
310,3.41,0.17,0.2,0.034,0.0,0.2,0.0,0.17,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.434,0.4,0.5,0.036835091732823955
311,3.89,7.42,0.6,4.452,2.24,0.2,0.448,9.66,5.0,0.2,1.0,1.25,0.2,0.25,2,0.2,0.4,0,0.2,0.0,2.4,6.55,0.4,0.5,0.2820978733427908
312,55.57,2.59,0.6,1.554,111.9,0.6,67.14,114.49,5.0,0.2,1.0,8.47,0.4,3.388,6,0.2,1.2,0,0.2,0.0,4.2,74.282,1.2,0.5,23.3540819270552
313,21.61,0.85,0.2,0.17,0.93,0.2,0.186,1.78,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.756,0.4,0.5,-0.44259643902864054
314,59.85,0.01,0.2,0.002,0.0,0.2,0.0,0.01,5.0,0.2,1.0,0.6,0.2,0.12,2,0.2,0.4,0,0.2,0.0,2.0,1.522,0.4,0.5,0.5575958032848463
315,3.89,6.85,0.6,4.11,65.93,0.6,39.558,72.78,5.5,0.4,2.2,6.02,0.4,2.408,4,0.2,0.8,0,0.2,0.0,4.4,49.076,0.8,0.5,14.082874182956902
316,1.85,7.02,0.6,4.212,1.77,0.4,0.708,8.79,5.0,0.2,1.0,0.0,0.2,0.0,4,0.2,0.8,0,0.2,0.0,3.2,6.72,0.8,0.5,2.7394858802450415
317,21.61,0.7,0.2,0.14,0.72,0.2,0.144,1.42,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.684,0.4,0.5,-0.3132234216326313
318,2.72,1.64,0.4,0.656,0.19,0.2,0.038,1.83,5.0,0.2,1.0,1.59,0.2,0.318,2,0.2,0.4,0,0.2,0.0,2.2,2.412,0.4,0.5,-0.6107615809898879
319,55.57,1.29,0.4,0.516,0.0,0.2,0.0,1.29,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.916,0.4,0.5,-0.30517600091125274
320,21.61,0.34,0.2,0.068,0.36,0.2,0.072,0.7,5.0,0.2,1.0,0.03,0.2,0.006,2,0.2,0.4,0,0.2,0.0,2.0,1.546,0.4,0.5,-0.0012909770739768511
321,2.37,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.05,0.2,0.01,2,0.2,0.4,0,0.2,0.0,2.0,1.41,0.4,0.5,0.17976320982939065
322,3.89,0.0,0.2,0.0,1.03,0.2,0.206,1.03,5.0,0.2,1.0,2.43,0.2,0.486,2,0.2,0.4,0,0.2,0.0,2.0,2.092,0.4,0.5,0.3911387822638486
