,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,2038.1435177551439,1153.6426934971853,True,True,True,True
1,"sigmoid, eps=5",2451.866952715964,1944.2814519482927,1545.5766200888283,True,True,True,True
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,2038.1435177551439,1153.6426934971853,True,True,True,True
1,gamma=2 eps=5,2446.873204487674,1950.476826952903,1589.004480556328,True,True,True,True
2,gamma=3 eps=5,2449.6740350901046,1949.9445936849165,1591.9613904235366,True,True,True,True
3,gamma=5 eps=5,2452.29919906734,1950.1110938444044,1593.982258585954,True,True,True,True
4,gamma=10 eps=5,2454.672200167432,1951.3611328872732,1596.0028427356149,True,True,True,True
5,gamma=15 eps=5,2455.4981192071655,1952.146730825847,1596.9952190504703,True,True,True,True
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,2038.1435177551439,1153.6426934971853,True,True,True,True
1,deg=1 eps=5,2376.80276271223,1776.3784546927686,1464.9243598830014,True,True,True,True
2,deg=2 eps=5,2256.397627511067,1454.3454002247213,1314.4706923015058,True,True,True,True
3,deg=3 eps=5,2048.43549723626,1130.013416783079,1105.6254461280987,True,True,True,True
4,deg=5 eps=5,1323.7011806109042,17473.178574840553,669.2554799743189,True,True,True,True
5,deg=6 eps=5,839.427125147642,51387.50878372165,796.3510624182475,True,True,True,True
6,deg=7 eps=5,295.98986757186884,109438.82188794507,2107.998440174017,True,True,True,True
7,deg=8 eps=5,161.34402778085126,217905.30747359406,2129.9274703753763,True,True,True,True
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1482.7214155806155,1153.6426934971853,True,True,True,False
1,deg=1 eps=5,2345.588657145154,1816.649395677878,1391.8858294417662,True,True,True,False
2,deg=2 eps=5,2074.9116676115777,1547.9982783487908,1079.56722573476,True,True,True,False
3,deg=3 eps=5,1607.0665019097607,1167.0708644581414,805.7223699247317,True,True,True,False
4,deg=5 eps=5,1045.9868854176223,1020.9998788317614,1167.0935290575048,True,True,True,False
5,deg=6 eps=5,528.2091986010483,1013.7271589688111,3016.695936214039,True,True,True,False
6,deg=7 eps=5,424.06951077494887,1279.5219029241528,6083.909004018755,True,True,True,False
7,deg=8 eps=5,358.8759372147963,1610.0348137572307,13967.774180853932,True,True,True,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1483.0759104004037,1153.6426934971846,True,True,False,False
1,deg=1 eps=5,2363.988506114375,1834.5675901667576,1423.481183562254,True,True,False,False
