,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1483.0759104004037,1153.6426934971846,True,True,False,False
1,deg=1 eps=5,2363.988506114375,1834.5675901667576,1423.481183562254,True,True,False,False
2,deg=2 eps=5,2220.3146032725235,1690.1754768223677,1239.9541919492294,True,True,False,False
3,deg=3 eps=5,1870.231970531011,1377.5131857470458,889.8233520353346,True,True,False,False
4,deg=5 eps=5,1260.9572588821436,998.2405182693669,924.2860278222635,True,True,False,False
5,deg=6 eps=5,651.8877539272465,981.9436652890898,2639.050096731681,True,True,False,False
6,deg=7 eps=5,398.37040941025776,1326.609056163024,10134.234286779647,True,True,False,False
7,deg=8 eps=5,324.5242867612512,1800.982440301627,22724.916619338954,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,2746.4188986581516,1600.6088308895169,646.5629635643462,True,True,False,False
1,deg=1 eps=5,3525.818926017198,1794.982576689767,85.80766828777165,True,True,False,False
2,deg=2 eps=5,3200.4385723187424,1624.756368421,65.71547171305816,True,True,False,False
3,deg=3 eps=5,2711.174171090215,1362.7452643960517,33.90782461591133,True,True,False,False
4,deg=5 eps=5,2089.0694928240346,1011.704647605473,41.417535709174764,True,True,False,False
5,deg=6 eps=5,1959.7835675654162,981.685617468618,25.58935851307733,True,True,False,False
6,deg=7 eps=5,1458.6763151926582,1069.1373053454486,77.24213529098185,True,True,False,False
7,deg=8 eps=5,497.24410695320245,2848.1233456810774,183.07595499739833,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,279.75541791466424,1565.085068724139,73.8099580554354,True,True,False,False
1,deg=1 eps=5,305.6976061179865,1848.980500857975,61.684573191045686,True,True,False,False
2,deg=2 eps=5,263.995800415284,1595.0140669782484,49.299121260955914,True,True,False,False
3,deg=3 eps=5,204.86558709885023,1280.4329233826124,62.40463900607986,True,True,False,False
4,deg=5 eps=5,152.38735745800759,1332.7076493175236,73.13303544328316,True,True,False,False
5,deg=6 eps=5,93.41720370908128,4213.127797268789,234.83433735224264,True,True,False,False
6,deg=7 eps=5,53.70328186462382,3234.953745918693,6481.106324808763,True,True,False,False
7,deg=8 eps=5,49.007983382448195,2686.8543184713126,11062.795878055613,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1483.0759104004037,1153.6426934971846,True,True,False,False
1,deg=1 eps=5,2363.988506114375,1834.5675901667576,1423.481183562254,True,True,False,False
2,deg=2 eps=5,2220.3146032725235,1690.1754768223677,1239.9541919492294,True,True,False,False
3,deg=3 eps=5,1870.231970531011,1377.5131857470458,889.8233520353346,True,True,False,False
4,deg=5 eps=5,1260.9572588821436,998.2405182693669,924.2860278222635,True,True,False,False
5,deg=6 eps=5,651.8877539272465,981.9436652890898,2639.050096731681,True,True,False,False
6,deg=7 eps=5,398.37040941025776,1326.609056163024,10134.234286779647,True,True,False,False
7,deg=8 eps=5,324.5242867612512,1800.982440301627,22724.916619338954,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,2746.4188986581516,1600.6088308895169,646.5629635643462,True,True,False,False
1,deg=1 eps=5,3525.818926017198,1794.982576689767,85.80766828777165,True,True,False,False
2,deg=2 eps=5,3200.4385723187424,1624.756368421,65.71547171305816,True,True,False,False
3,deg=3 eps=5,2711.174171090215,1362.7452643960517,33.90782461591133,True,True,False,False
4,deg=5 eps=5,2089.0694928240346,1011.704647605473,41.417535709174764,True,True,False,False
5,deg=6 eps=5,1959.7835675654162,981.685617468618,25.58935851307733,True,True,False,False
6,deg=7 eps=5,1458.6763151926582,1069.1373053454486,77.24213529098185,True,True,False,False
7,deg=8 eps=5,497.24410695320245,2848.1233456810774,183.07595499739833,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,279.75541791466424,1565.085068724139,73.8099580554354,True,True,False,False
1,deg=1 eps=5,305.6976061179865,1848.980500857975,61.684573191045686,True,True,False,False
2,deg=2 eps=5,263.995800415284,1595.0140669782484,49.299121260955914,True,True,False,False
3,deg=3 eps=5,204.86558709885023,1280.4329233826124,62.40463900607986,True,True,False,False
4,deg=5 eps=5,152.38735745800759,1332.7076493175236,73.13303544328316,True,True,False,False
5,deg=6 eps=5,93.41720370908128,4213.127797268789,234.83433735224264,True,True,False,False
6,deg=7 eps=5,53.70328186462382,3234.953745918693,6481.106324808763,True,True,False,False
7,deg=8 eps=5,49.007983382448195,2686.8543184713126,11062.795878055613,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1483.0759104004037,1153.6426934971846,True,True,False,False
1,deg=1 eps=5,2363.988506114375,1834.5675901667576,1423.481183562254,True,True,False,False
2,deg=2 eps=5,2220.3146032725235,1690.1754768223677,1239.9541919492294,True,True,False,False
3,deg=3 eps=5,1870.231970531011,1377.5131857470458,889.8233520353346,True,True,False,False
4,deg=5 eps=5,1260.9572588821436,998.2405182693669,924.2860278222635,True,True,False,False
5,deg=6 eps=5,651.8877539272465,981.9436652890898,2639.050096731681,True,True,False,False
6,deg=7 eps=5,398.37040941025776,1326.609056163024,10134.234286779647,True,True,False,False
7,deg=8 eps=5,324.5242867612512,1800.982440301627,22724.916619338954,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1483.0759104004037,1153.6426934971846,True,True,False,False
1,deg=5 eps=4,1286.3696900615228,1004.1980865882501,906.9115041271062,True,True,False,False
2,deg=5 eps=5,1260.9572588821436,998.2405182693669,924.2860278222635,True,True,False,False
3,deg=5 eps=7,1248.1534970729856,1005.7356978462348,872.3151198244256,True,True,False,False
4,deg=6 eps=4,686.3161328391882,994.3978934474158,2383.3480445057216,True,True,False,False
5,deg=6 eps=5,651.8877539272465,981.9436652890898,2639.050096731681,True,True,False,False
6,deg=6 eps=7,612.3359573725603,971.1708370004102,3464.7133652965563,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1483.0759104004037,1153.6426934971846,True,True,False,False
1,deg=5 eps=4,1286.3696900615228,1004.1980865882501,906.9115041271062,True,True,False,False
2,deg=5 eps=5,1260.9572588821436,998.2405182693669,924.2860278222635,True,True,False,False
3,deg=5 eps=7,1248.1534970729856,1005.7356978462348,872.3151198244256,True,True,False,False
4,deg=5 eps=10,1213.7997100352313,990.9683257947763,840.5408532632879,True,True,False,False
5,deg=6 eps=4,686.3161328391882,994.3978934474158,2383.3480445057216,True,True,False,False
6,deg=6 eps=5,651.8877539272465,981.9436652890898,2639.050096731681,True,True,False,False
7,deg=6 eps=7,612.3359573725603,971.1708370004102,3464.7133652965563,True,True,False,False
8,deg=6 eps=10,612.6424387626341,951.4817710848606,3489.843703284049,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1483.0759104004037,1153.6426934971846,True,True,False,False
1,deg=5 eps=1,1356.1460986628765,1048.2056689805866,891.1505184677933,True,True,False,False
2,deg=5 eps=4,1286.3696900615228,1004.1980865882501,906.9115041271062,True,True,False,False
3,deg=5 eps=5,1260.9572588821436,998.2405182693669,924.2860278222635,True,True,False,False
4,deg=5 eps=7,1248.1534970729856,1005.7356978462348,872.3151198244256,True,True,False,False
5,deg=5 eps=10,1213.7997100352313,990.9683257947763,840.5408532632879,True,True,False,False
6,deg=5 eps=15,1082.8760766941232,975.9569168670997,1027.0770663704961,True,True,False,False
7,deg=5 eps=20,1027.8199023436555,1011.9520764802947,1201.4812052323168,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1483.0759104004037,1153.6426934971846,True,True,False,False
1,deg=5 eps=1,1356.1460986628765,1048.2056689805866,891.1505184677933,True,True,False,False
2,deg=5 eps=4,1286.3696900615228,1004.1980865882501,906.9115041271062,True,True,False,False
3,deg=5 eps=5,1260.9572588821436,998.2405182693669,924.2860278222635,True,True,False,False
4,deg=5 eps=7,1248.1534970729856,1005.7356978462348,872.3151198244256,True,True,False,False
5,deg=5 eps=10,1213.7997100352313,990.9683257947763,840.5408532632879,True,True,False,False
6,deg=5 eps=15,1082.8760766941232,975.9569168670997,1027.0770663704961,True,True,False,False
7,deg=5 eps=20,1027.8199023436555,1011.9520764802947,1201.4812052323168,True,True,False,False
8,deg=5 eps=30,1086.4891353811954,1230.4080535945532,2179.0525210634987,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1483.0759104004037,1153.6426934971846,True,True,False,False
1,deg=5 eps=1,1356.1460986628765,1048.2056689805866,891.1505184677933,True,True,False,False
2,deg=5 eps=4,1286.3696900615228,1004.1980865882501,906.9115041271062,True,True,False,False
3,deg=5 eps=5,1260.9572588821436,998.2405182693669,924.2860278222635,True,True,False,False
4,deg=5 eps=7,1248.1534970729856,1005.7356978462348,872.3151198244256,True,True,False,False
5,deg=5 eps=10,1213.7997100352313,990.9683257947763,840.5408532632879,True,True,False,False
6,deg=5 eps=15,1082.8760766941232,975.9569168670997,1027.0770663704961,True,True,False,False
7,deg=5 eps=20,1027.8199023436555,1011.9520764802947,1201.4812052323168,True,True,False,False
8,deg=5 eps=30,1086.4891353811954,1230.4080535945532,2179.0525210634987,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,1973.0259051546684,1483.0759104004037,1153.6426934971846,True,True,False,False
1,deg=5 eps=1,1356.1460986628765,1048.2056689805866,891.1505184677933,True,True,False,False
2,deg=5 eps=4,1286.3696900615228,1004.1980865882501,906.9115041271062,True,True,False,False
3,deg=5 eps=5,1260.9572588821436,998.2405182693669,924.2860278222635,True,True,False,False
4,deg=5 eps=7,1248.1534970729856,1005.7356978462348,872.3151198244256,True,True,False,False
5,deg=5 eps=10,1213.7997100352313,990.9683257947763,840.5408532632879,True,True,False,False
6,deg=5 eps=15,1082.8760766941232,975.9569168670997,1027.0770663704961,True,True,False,False
7,deg=5 eps=20,1027.8199023436555,1011.9520764802947,1201.4812052323168,True,True,False,False
8,deg=5 eps=30,1086.4891353811954,1230.4080535945532,2179.0525210634987,True,True,False,False
