,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,-0.13206594782472703,0.22421883834915157,True,True,True,True
1,"sigmoid, eps=5",-0.02499046537492955,-0.07993122445183398,-0.039341931875052305,True,True,True,True
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,-0.13206594782472703,0.22421883834915157,True,True,True,True
1,gamma=2 eps=5,-0.022902854415937313,-0.08337238206199515,-0.06854552864846708,True,True,True,True
2,gamma=3 eps=5,-0.024073727353982166,-0.0830767585429748,-0.07053393891154958,True,True,True,True
3,gamma=5 eps=5,-0.02517116375595818,-0.08316923935172138,-0.07189289646350261,True,True,True,True
4,gamma=10 eps=5,-0.02616318475417101,-0.08386356073858914,-0.07325166302759811,True,True,True,True
5,gamma=15 eps=5,-0.026508455993281554,-0.08429991306961648,-0.07391899863737827,True,True,True,True
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,-0.13206594782472703,0.22421883834915157,True,True,True,True
1,deg=1 eps=5,0.006389736132208501,0.013328776168751832,0.01489366851051499,True,True,True,True
2,deg=2 eps=5,0.056724488361184155,0.19219873888796168,0.11606808037037575,True,True,True,True
3,deg=3 eps=5,0.14366199549411296,0.3723456181661885,0.25650862456566437,True,True,True,True
4,deg=5 eps=5,0.4466334775511409,-8.705298126711206,0.5499509539459151,True,True,True,True
5,deg=6 eps=5,0.6490817747266672,-27.54266558307411,0.4644839725791383,True,True,True,True
6,deg=7 eps=5,0.8762629465792635,-59.78667304344464,-0.4175493745979033,True,True,True,True
7,deg=8 eps=5,0.932550952678174,-120.0332718437979,-0.43229581959285746,True,True,True,True
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.1764375717083605,0.22421883834915157,True,True,True,False
1,deg=1 eps=5,0.0194386336492699,-0.009039305656179941,0.06400932304580764,True,True,True,False
2,deg=2 eps=5,0.13259376760177888,0.1401802066715393,0.2740317940888174,True,True,True,False
3,deg=3 eps=5,0.32817405126477583,0.3517624382964799,0.4581821220455655,True,True,True,False
4,deg=5 eps=5,0.562730521216629,0.4328960716016327,0.2151736592005482,True,True,True,False
5,deg=6 eps=5,0.7791848404785255,0.4369356293821284,-1.0286141375793592,True,True,True,False
6,deg=7 eps=5,0.8227199054503969,0.28930266039766284,-3.0911991391442397,True,True,True,False
7,deg=8 eps=5,0.849973746132435,0.10572264828807965,-8.392800856607714,True,True,True,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=1 eps=5,0.01174667069960833,-0.018991783315703836,0.042762640116573936,True,True,False,False
2,deg=2 eps=5,0.07180881247813142,0.061209337570852895,0.16617761387784558,True,True,False,False
3,deg=3 eps=5,0.21815907029123238,0.23487440571339857,0.4016273863674342,True,True,False,False
4,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
5,deg=6 eps=5,0.7274816516736539,0.4545894455065911,-0.774661566564399,True,True,False,False
6,deg=7 eps=5,0.8334632836089603,0.2631485832694521,-5.814889993024477,True,True,False,False
7,deg=8 eps=5,0.8643342782754102,-0.00033725571070908344,-14.281648566530327,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.4331968862835117,0.18946625155884778,-0.12340279968334511,True,False,False,False
1,deg=1 eps=5,0.03269966301521354,0.01216598728818552,0.07655648960518091,True,False,False,False
2,deg=2 eps=5,0.1792036297995513,0.22862015092661203,0.36723175307858547,True,False,False,False
3,deg=3 eps=5,0.3003513347707786,0.32426941407982957,0.40347463779863224,True,False,False,False
4,deg=5 eps=5,0.4070457616879224,0.2998193652359735,-0.4228806087006147,True,False,False,False
5,deg=6 eps=5,0.4855321433851866,0.3144143474674479,-66.4923179479699,True,False,False,False
6,deg=7 eps=5,0.6842530115701753,0.3346370521968556,-11622.401194906935,True,False,False,False
7,deg=8 eps=5,0.7829495937298905,0.340019833618338,-372098.50840441074,True,False,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.9130000064726308,-0.08314057708915534,-3.008690418407954,False,False,False,False
1,deg=1 eps=5,0.234318079766191,0.010914808439293155,0.21790580454320785,False,False,False,False
2,deg=2 eps=5,0.8298801384487917,0.008798677627771312,0.09765265845758053,False,False,False,False
3,deg=3 eps=5,0.8747699817421386,-0.014386928949082556,0.14451339385980733,False,False,False,False
4,deg=5 eps=5,0.8795703878839716,0.03157009633996499,0.23195437567006805,False,False,False,False
5,deg=6 eps=5,0.8870649936846663,0.10957693133996327,0.23735330386316378,False,False,False,False
6,deg=7 eps=5,0.8925817193864797,0.16895108183408136,-0.15689680681171403,False,False,False,False
7,deg=8 eps=5,0.8926720937239635,0.17557833418700475,-0.9777577018891455,False,False,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.4331968862835117,0.19147163145415969,-0.12340279968334467,True,False,True,False
1,deg=1 eps=5,0.15156783598270085,0.18597481817881,0.24563381089550818,True,False,True,False
2,deg=2 eps=5,0.2922916818564072,0.35262468476442643,0.4114507359337546,True,False,True,False
3,deg=3 eps=5,0.37186703379705044,0.41933773556383946,0.3255280502800457,True,False,True,False
4,deg=5 eps=5,0.7976361129252381,0.36344506903786444,-20.829211276722955,True,False,True,False
5,deg=6 eps=5,0.7982457803110106,0.14872561282597774,-39.98550067672144,True,False,True,False
6,deg=7 eps=5,0.8034748859466625,-0.8502611246543583,-88.72472998666804,True,False,True,False
7,deg=8 eps=5,0.8094212315835513,-6.5863746336964875,-151.6459439632769,True,False,True,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.4331968862835116,-0.9248666123148541,-0.12340279968334356,True,False,True,True
1,deg=1 eps=5,0.09724120829538052,0.2142266536751838,0.14873426873498952,True,False,True,True
2,deg=2 eps=5,0.2569271819793182,-0.14013170316853962,0.4768145664533565,True,False,True,True
3,deg=3 eps=5,0.3738056739723825,-0.08058561850733614,0.3217659782680249,True,False,True,True
4,deg=5 eps=5,0.8502046676669321,-4277.227160292954,-3.686121891624861,True,False,True,True
5,deg=6 eps=5,0.8554052414931147,-51742.61723979474,-3.5143618245433252,True,False,True,True
6,deg=7 eps=5,0.855805034850863,-701183.2960641148,-4.26600580401385,True,False,True,True
7,deg=8 eps=5,0.8567125175266597,-10859986.821279744,-7.366021094642143,True,False,True,True
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.9130000064726308,-1.1567253626938494,-3.008690418407981,False,False,True,True
1,deg=1 eps=5,0.04793220409158627,0.031922095040736176,0.19996257654581795,False,False,True,True
2,deg=2 eps=5,0.7018606983003877,0.22598861944710058,0.3601940189117856,False,False,True,True
3,deg=3 eps=5,0.9155508020590929,0.1539032445332399,-2.5542457025789074,False,False,True,True
