,name,category,1,2,3,4,5,6,7,time
0,bug_29032457_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.381
1,bug_29032457_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.381
2,catcdbviews,0,51.0,1.0,0.0,1.0,9.0,0.0,0.0,0.36
3,catcdbviews,0,51.0,1.0,0.0,1.0,9.0,0.0,0.0,0.36
4,cdcore_mig,0,50.0,0.0,0.0,1.0,110.0,0.0,3.0,0.379
5,cdcore_mig,0,50.0,0.0,0.0,1.0,110.0,0.0,3.0,0.379
6,cdcore_cols,0,51.0,36.0,0.0,1.0,78.0,0.0,0.0,5.003
7,cdcore_cols,0,51.0,36.0,0.0,1.0,78.0,0.0,0.0,5.003
8,bug29261906_apply,0,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.341
9,bug29261906_apply,0,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.341
10,catappcontainer,0,55.0,8.0,0.0,1.0,16.0,0.0,0.0,0.592
11,catappcontainer,0,55.0,8.0,0.0,1.0,16.0,0.0,0.0,0.592
12,catawrrtvw,3,38525.0,148.0,0.0,31.0,332.0,0.0,21.0,2.218
13,catawrrtvw,3,38525.0,148.0,0.0,31.0,332.0,0.0,21.0,2.218
14,catawrpdbvw,2,38526.0,147.0,0.0,31.0,330.0,0.0,21.0,2.127
15,catawrpdbvw,2,38526.0,147.0,0.0,31.0,330.0,0.0,21.0,2.127
16,catawrvw,0,48.0,294.0,0.0,1.0,441.0,0.0,3.0,7.303
17,catawrvw,0,48.0,294.0,0.0,1.0,441.0,0.0,3.0,7.303
18,dbmssqlu,1,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.369
19,dbmssqlu,1,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.369
20,dbmssqlt,3,48.0,2.0,0.0,1.0,9.0,0.0,6.0,0.385
21,dbmssqlt,3,48.0,2.0,0.0,1.0,9.0,0.0,6.0,0.385
22,dbmsgwm,0,356325.0,27.0,1.0,17.0,2.0,0.0,7.0,3.04
23,dbmsgwm,0,356325.0,27.0,1.0,17.0,2.0,0.0,7.0,3.04
24,dbmsoptim,1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349
25,dbmsoptim,1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349
26,catost,3,10930.0,54.0,0.0,3.0,521.0,0.0,8.0,19.539
27,catost,3,10930.0,54.0,0.0,3.0,521.0,0.0,8.0,19.539
28,dbmsrman,2,161.0,34.0,2.0,3.0,65.0,0.0,0.0,5.715
29,dbmsrman,2,161.0,34.0,2.0,3.0,65.0,0.0,0.0,5.715
