,0,1,2,3,category
0,bug_29032457_apply,0.440388917922974,1806,CATALOG,0
1,bug_29032457_rollback,0.391759157180786,1910,CATALOG,0
2,catcdbviews,0.375892877578735,17261,CATALOG,0
3,cdcore_mig,0.514025926589966,53531,CATALOG,0
4,cdcore_cols,5.55359387397766,74664,CATALOG,0
5,bug29261906_rollback,0.357879877090454,1391,CATALOG,1
6,bug29261906_apply,0.349777936935425,1370,CATALOG,0
7,catappcontainer,0.577935218811035,21709,CATPROC,0
8,catawrrtvw,2.66134405136108,210931,CATPROC,3
9,catawrpdbvw,2.49912285804749,202840,CATPROC,2
10,catawrvw,7.88134384155273,119530,CATPROC,0
11,dbmssqlu,0.379388809204102,72479,CATPROC,1
12,dbmssqlt,0.408740997314453,234915,CATPROC,3
13,prvsash,0.374013185501099,7257,CATPROC,0
14,prvsspmi,0.352998971939087,3557,CATPROC,0
15,dbmsgwm,3.05055999755859,1894,CATPROC,0
16,dbmsoptim,0.367455005645752,8613,CATPROC,1
17,catost,19.3521399497986,355284,CATPROC,3
18,dbmsrman,5.25794100761414,171970,CATPROC,2
19,catadv,2.37080097198486,81461,CATPROC,1
20,cataivw,1.21033501625061,18147,CATPROC,1
21,prvtsrv,0.408775091171265,8884,CATPROC,0
22,prvtash,0.381750106811523,90640,CATPROC,0
23,prvtsqlt,2.42680096626282,170311,CATPROC,3
24,prvtaii,0.373932838439941,66005,CATPROC,1
25,prvthdm,0.359418153762817,39905,CATPROC,0
26,prvtsqlu,0.368142127990723,19767,CATPROC,0
27,prvtspmi,0.365501165390015,36170,CATPROC,0
28,prvtspm,0.369083881378174,14103,CATPROC,0
29,prvtstai,0.37423300743103,139039,CATPROC,3
30,prvtoptim,0.427894830703735,13674,CATPROC,0
31,prvtsqlqi,0.360879898071289,4960,CATPROC,0
32,prvtrmns,0.413160085678101,164500,CATPROC,3
33,execsmb,0.42524790763855,972,CATPROC,0
34,prvtgwm,8.53109097480774,4637,XDB,0
35,prvtemxi,0.356626033782959,18303,CATPROC,1
36,prvtdputh,0.36130690574646,701,CATPROC,0
37,prvtwrr,0.429066896438599,213737,CATPROC,3
38,prvtdput,0.359308004379272,6779,CATPROC,0
39,prvthpui,0.361654996871948,2224,CATPROC,0
40,prvtbpui,0.360781908035278,7517,CATPROC,0
41,prvtbpw,0.390593767166138,177032,CATPROC,3
42,catfusrg,0.813463926315308,577158,CATPROC,3
43,owmcddlb,0.379550933837891,55764,CATPROC,0
44,owmddlb,0.375885009765625,10765,CATPROC,0
45,owmexpb,0.370056867599487,22515,CATPROC,0
46,bug29394140_apply,0.359798908233643,2693,CATALOG,0
47,bug29394140_rollback,0.397611856460571,2621,CATALOG,0
48,bug_29348176_apply,0.40159797668457,3713,CATALOG,0
49,bug_29348176_rollback,0.386043071746826,2510,CATALOG,0
50,bug29676089_rollback,0.469182968139648,1426,CATALOG,0
51,bug_29766207_apply,0.370796918869019,2651,CATALOG,0
52,29201539_rollback,0.367374181747437,2060,CATALOG,0
53,catmdloc,227.809297084808,6586,SDO,0
54,prvtcs,0.422906875610352,74773,SDO,1
55,prvtgmd,0.735465049743652,25896,SDO,0
56,sdosempatch,44.3924920558929,1981,SDO,0
57,prvtbpm,0.378903865814209,131351,CATALOG,1
58,dbmsrmin,0.373157978057861,3343,CATPROC,0
59,dbmsbkrs,0.981312036514282,426280,CATPROC,3
60,prvtrmad,0.362444162368774,7095,CATPROC,0
61,prvtfspi,0.377421855926514,76934,CATPROC,0
62,prvtbkrs,0.369572877883911,50161,CATPROC,0
63,catmdh,1.05735206604004,7061,SDO,0
64,catmdlocp1,29.123458147049,2187,SDO,0
65,sdoepsgx,3.42581796646118,17818,SDO,1
66,sdogmlsc,0.467758893966675,87122,SDO,1
67,sdowfscs,5.72768688201904,5136,SDO,0
68,sdocswadm,0.364947080612183,7810,SDO,1
69,catmdsdop2,29.0393898487091,3745,SDO,0
70,sdogrxml,0.479860782623291,39460,SDO,1
71,prvtgrxh,0.384809970855713,3228,SDO,0
72,prvtgr,0.383935928344727,47643,SDO,0
73,prvtgrxb,0.371023893356323,4779,SDO,0
74,catsem,29.7251172065735,1580,SDO,0
75,29033052_rollback,10.342432975769,1618,SDO,1
76,prvtawr,0.42014479637146,165326,CATPROC,3
77,prvtawrs,0.403228998184204,287433,CATPROC,3
78,prvtstat,0.400827169418335,335438,CATPROC,3
79,prvsawrs,0.356672048568726,11586,CATPROC,0
80,prvtbsch,0.485859155654907,113712,CATPROC,0
81,prvtspcu,0.958531141281128,68709,CATPROC,0
82,bug_29430866_rollback,0.447549104690552,1773,DV,0
83,catmacp,1.5561900138855,135829,DV,3
84,prvtmacp,1.25067090988159,36379,DV,0
85,catmacg,3.03774189949036,34239,DV,0
86,bug_29430866_apply,0.414647817611694,3230,DV,1
87,dbmssodacoll,0.387718200683594,15635,XDB,0
88,prvtsodacoll,0.377662897109985,30902,XDB,0
89,prvtaqiu,0.416401147842407,11844,CATPROC,0
90,prvtilm,0.403465032577515,99658,CATPROC,0
91,nothing,0.356669902801514,347,CATALOG,0
92,bug_29784106_prepatch,6.30035805702209,4875,CATALOG,0
93,bug_29784106_prepatchrem,5.58286118507385,1157,CATALOG,0
94,bug_29202461_apply,0.55790901184082,1908,CATALOG,0
95,bug_29202461_rollback,0.486312866210938,2072,CATALOG,0
96,bug_29784106_postpatch,0.364413022994995,1031,CATALOG,0
97,bug_29784106_postpatchrem,0.499466180801392,1251,CATALOG,0
98,depsaq,1.13694286346436,24437,CATPROC,0
99,prvtaqxe,0.442767858505249,24597,CATPROC,0
100,prvtaqis,0.469934940338135,42390,CATPROC,1
101,prvtaqim,0.454166889190674,41631,CATPROC,0
102,prvtaqmi,0.481518030166626,20845,CATPROC,0
103,prvtaqds,0.89572286605835,128518,CATPROC,0
104,prvttxfm,0.409888982772827,9328,CATPROC,0
105,prvtsmbi,0.374948024749756,6362,CATPROC,0
106,catxdbtm,1.51826190948486,133084,XDB,0
107,prvtjson,0.394050121307373,16273,XDB,0
108,catawrtb,5.38634300231934,214346,CATPROC,3
109,prvtai,0.365451097488403,2904,CATPROC,1
110,dbmsai,0.38503885269165,16438,CATPROC,0
111,prvtstatadvi,0.382964134216309,32463,CATPROC,0
112,bug_28935293_apply,0.398063182830811,2407,DV,0
113,bug_28935293_rollback,0.43218994140625,4835,DV,0
114,prvsaii,0.361760139465332,1797,CATPROC,0
115,prvsawr,0.361714124679565,11136,CATPROC,0
116,prvsumfi,0.370062828063965,3746,CATPROC,0
117,prvtsnap,3.80722284317017,114595,CATPROC,0
118,bug_30264405_apply,0.50533390045166,2078,DV,0
119,bug_30264405_rollback,0.364277124404907,1053,DV,0
120,30035598_apply,0.499336957931519,26727,SDO,0
121,bug_30305880_apply,0.369736909866333,2021,CATALOG,0
122,bug_29738400_rollback,0.609798908233643,5314,CATALOG,0
123,bug_30305880_rollback,0.371603965759277,1896,CATALOG,0
124,bug29416700_apply,0.376315832138062,1238,CATALOG,0
125,bug28628592_apply,0.40890908241272,1255,CATALOG,1
126,bug29416700_rollback,0.369105815887451,1260,CATALOG,0
127,bug28628592_rollback,0.393213987350464,1277,CATALOG,0
128,catwrrvwp,1.1126070022583,24801,CATALOG,0
129,dbmsrep,0.385407209396362,36383,CATPROC,0
130,utlcoll,0.367738962173462,769,CATPROC,0
131,prvsemx_perf,0.356914043426514,742,CATPROC,0
132,prvsawrv,1.02031087875366,6402,CATPROC,0
133,dbmsappcont,0.436995983123779,20662,CATPROC,0
134,dbmshadp1,1.04187798500061,29578,CATPROC,0
135,prvtrlsa,0.385599851608276,9135,CATPROC,0
136,prvtemx_perf,0.414448022842407,12788,CATPROC,0
137,prvtperf,0.794641971588135,20300,CATPROC,0
138,prvtemx_rsrcmgr,0.923969984054565,39022,CATPROC,0
139,prvtrep,0.375717878341675,13406,CATPROC,0
140,prvtamgt,0.393968105316162,40648,CATPROC,0
141,prvtawrv,2.95344805717468,139871,CATPROC,3
142,prvtatsk,0.380208969116211,10383,CATPROC,1
143,prvtautorep,0.37383508682251,8335,CATPROC,0
144,prvtsqld,0.39130711555481,61993,CATPROC,0
145,prvtds,0.46518087387085,23619,CATPROC,0
146,prvtdiag,0.403826951980591,18122,CATPROC,0
147,prvtredacta,0.458776950836182,7919,CATPROC,0
148,prvtappcont,0.384665966033936,13838,CATPROC,0
149,prvtpart,0.433802127838135,2975,CATPROC,0
150,prvthadoop1,1.40051102638245,17355,CATPROC,0
151,catmetloadxsl,0.343531131744385,1114,CATPROC,0
152,bug_29738400_apply,0.506896018981934,4958,CATPROC,0
153,drixmd,0.499101877212524,51995,CONTEXT,0
154,driparse,0.409080028533936,11249,CONTEXT,0
155,drirepm,0.399803876876831,10667,CONTEXT,0
156,drixmd,0.500629186630249,43213,CONTEXT,0
157,drvddl,0.470809936523438,47678,CONTEXT,0
158,prvtolsdd,1.17098903656006,127511,OLS,0
159,prvt3glh,0.382708072662354,5383,SDO,0
160,prvtgeom,1.14856696128845,24563,SDO,0
161,sdoutlb,2.07330584526062,60236,SDO,0
162,dbmsjson,1.60646200180054,47190,XDB,1
163,catxoq,60.9456121921539,15004,XOQ,0
164,catwrrvwc,0.628977060317993,9841,CATPROC,1
165,bug_29644426_apply,0.383193016052246,2413,CATALOG,0
166,bug_31001455_apply,0.362246990203857,2366,CATALOG,0
167,bug_29349874_rollback,0.36021614074707,1481,CATALOG,0
168,bug_31001455_rollback,0.367736101150513,2456,CATALOG,0
169,bug_29644426_rollback,0.372503042221069,1835,CATALOG,0
170,after_apply_script_30657706,1.12771010398865,1344,CATALOG,0
171,dbmsgwmco,1.68337798118591,40210,CATPROC,0
172,dbmsgwmut,1.41449403762817,116246,CATPROC,0
173,dbmsgwmdb,0.874413013458252,42810,CATPROC,0
174,dbmsgwmpl,1.20131015777588,89403,CATPROC,0
175,dbmshadp,1.00301480293274,2213,CATPROC,0
176,prvtldap,0.390599966049194,18473,CATPROC,0
177,prvtcapi,0.371847867965698,36512,CATPROC,0
178,prvtinmemadmin,0.387263059616089,6869,CATPROC,0
179,prvthadoop,1.35870695114136,443,CATPROC,0
180,bug_29349874_apply,0.727898836135864,1557,CATPROC,0
181,bug_28813931_apply,0.364464998245239,1643,CATPROC,0
182,bug_30528547_apply,0.410053968429565,2639,DV,0
183,bug_30528547_rollback,0.368479013442993,2393,DV,0
184,sdoutlh,1.33657121658325,58384,SDO,0
185,prvtimd,1.64865779876709,35612,SDO,0
186,sdopidx,0.373574018478394,9384,SDO,0
187,prvtsidx,1.46862196922302,42391,SDO,0
188,prvtpidx,0.425745010375977,3230,SDO,0
189,prvtmig,0.405016183853149,6106,SDO,0
190,prvttune,0.58797287940979,9160,SDO,0
191,sdoaggrh,1.28718495368958,15931,SDO,0
192,sdoaggrb,0.909365892410278,15548,SDO,0
193,prvt3gl,0.970715999603271,18636,SDO,0
194,prvtsam,1.36219716072083,21541,SDO,0
195,sdoobjtrkrb,0.787914037704468,11118,SDO,1
196,prvtgri,2.04689502716064,74439,SDO,0
197,prvtgrag,0.386137962341309,5196,SDO,1
198,prvttnpc,0.466235876083374,7442,SDO,0
199,prvtpc,1.97334313392639,50760,SDO,0
200,prvttin,0.842178106307983,20121,SDO,1
201,sdordfm,1.67347812652588,63154,SDO,0
202,sdordfb,0.92153787612915,276460,SDO,3
203,sdottsmeta,34.6343910694122,6530,SDO,0
204,prvtgwmco,1.1987361907959,17878,XDB,1
205,prvtgwmdb,2.12627291679382,58140,XDB,0
206,prvtgwmpl,4.77497386932373,130114,XDB,1
207,bug31414524,0.416817903518677,841,CATPROC,1
208,bug_30952191_apply,0.359647989273071,1717,CATALOG,0
209,bug_30952191_rollback,0.434412002563477,2495,CATALOG,0
210,bug_30416603_rollback,0.413758039474487,1966,CATALOG,0
211,standard,0.416808128356934,128,CATALOG,0
212,stdbody,0.35880708694458,19686,CATALOG,0
213,stdspec,0.422126054763794,148971,CATALOG,3
214,prvtxpln,0.405627965927124,84722,CATALOG,0
215,bug_29443559_rollback,0.457199096679688,1054,CATALOG,0
216,prvtxschu,0.40590500831604,1332,CATALOG,0
217,bug_29443559_apply,0.524010896682739,3696,CATALOG,0
218,catmvrs,0.404047012329102,12581,CATPROC,1
219,prvtreut,0.402865886688232,4857,CATPROC,0
220,dbmsobtk,0.413676023483276,27096,CATPROC,0
221,catlsby,14.270476102829,501706,CATPROC,3
222,catpexev,0.618526935577393,18920,CATPROC,1
223,prvtobtk,0.381894111633301,7403,CATPROC,0
224,prvtemx_admin,0.383409976959229,57615,CATPROC,0
225,prvtreie,0.47766900062561,19795,CATPROC,0
226,prvtpexei,0.360608100891113,8293,CATPROC,0
227,prvthpexei,0.352375030517578,1421,CATPROC,0
228,prvtpexe,0.371737957000732,5222,CATPROC,0
