,grants,size,packages,alters,commands,commits,time,md
8,48,315,3,3,71,0,2.9,1
9,62,1268,13,7,242,2,5.014,1
11,62,3450,8,8,329,32,21.78,1
12,276,5824,49,40,1057,24,15.358,1
13,458,10148,78,79,633,59,38.415,1
15,25,771,5,3,142,0,18.379,1
16,27,1946,47,30,360,3,16.191,1
17,62,1658,64,46,282,1,10.072,1
18,54,1830,20,18,313,5,11.235,1
19,88,7892,191,132,673,3,34.689,1
20,256,14413,338,240,1775,12,66.472,1
22,763,24871,491,399,710,80,115.785,1
24,0,574,63,69,38,1,5.027,1
27,64,3185,122,109,599,3,14.154,1
28,64,3184,122,109,599,3,14.437,1
29,64,3184,122,109,599,3,13.572,1
37,0,196,1,4,29,0,9.403,1
38,3,752,3,4,142,1,14.92,1
39,3,711,3,4,131,0,2.814,1
42,2,379,1,2,82,0,11.714,1
48,763,24730,491,399,710,80,133.464,1
50,48,245,2,2,56,0,2.69,1
52,4,463,2,2,6,0,2.802,1
74,0,13,1,1,3,0,2.214,1
90,1,25,1,1,5,0,2.41,1
114,0,220,13,31,21,0,2.561,1
133,0,190,20,23,20,0,3.171,1
136,19,305,10,24,52,0,2.37,1
144,32,285,0,0,44,0,5.687,1
148,4,67,0,0,12,0,2.646,1
150,772,27339,508,415,949,89,165.697,1
154,0,658,20,20,110,0,438.16,1
155,0,662,19,19,113,0,84.974,1
157,0,2108,0,0,86,42,5.247,1
161,0,1224,3,3,214,16,6.013,1
162,0,1132,3,3,191,5,3.291,1
164,0,1351,3,3,244,30,3.59,1
166,0,315,0,46,37,1,2.755,1
167,1,25,1,1,5,0,2.057,1
173,2,63,2,1,13,1,2.355,1
0,14,6039,87,2,955,23,44.344,0
1,11,5811,87,2,902,17,8.766,0
7,0,16,2,2,4,0,2.535,0
8,0,4845,9,5,59,26,13.421,0
9,0,15,0,0,2,0,3.683,0
14,0,235,0,0,9,0,27.398,0
15,0,18,1,1,2,0,3.242,0
27,0,18,0,0,0,0,4.776,0
40,0,49,2,2,12,0,9.917,0
52,0,83,10,0,18,0,7.377,0
53,0,98,10,1,21,0,5.842,0
55,0,75,10,0,16,0,5.783,0
56,14,370,14,9,79,0,5.88,0
58,0,12,0,0,3,0,6.751,0
61,0,20,1,1,3,0,3.546,0
63,1,96,0,0,24,6,7.632,0
70,80,27222,65,6,5200,85,58.481,0
71,112,12579,54,6,2155,61,22.692,0
73,14,3369,35,1,552,20,4.863,0
80,96,1164,0,0,291,0,2.078,0
81,47,2164,0,0,541,0,5.649,0
82,83,1020,0,0,255,0,3.753,0
87,3104,68249,14,5,17004,8,177.03,0
95,164,4421,0,0,1100,0,9.164,0
108,39,2396,0,0,592,3,3.745,0
109,148,2912,0,0,638,0,3.985,0
110,147,2903,0,0,638,0,4.372,0
112,148,2912,0,0,638,0,5.691,0
113,779,15417,27,15,3435,0,25.992,0
114,21,2074,0,0,376,0,4.917,0
115,758,14893,0,0,3322,0,16.756,0
116,294,4120,0,0,1030,0,5.477,0
127,51,2366,2,0,587,3,7.549,0
145,0,11628,0,0,2907,4,5.216,0
148,2,88,2,2,19,0,13.467,0
151,0,24,0,0,6,0,6.877,0
155,162,1108,0,0,274,0,2.541,0
156,561,4236,0,0,1055,2,7.09,0
163,176,1532,2,2,293,0,6.583,0
166,14,128,1,0,31,0,2.09,0
167,24,1004,0,0,251,0,2.776,0
170,48,842,12,6,185,2,3.835,0
173,37,1064,0,0,266,0,3.632,0
180,6,114,0,5,26,0,2.178,0
182,49,2103,0,0,503,0,2.434,0
186,24,304,0,0,76,0,2.709,0
187,2,78,1,0,11,0,3.627,0
189,12,1165,0,0,199,1,2.531,0
190,42,3199,0,0,786,9,14.997,0
191,0,28,0,0,7,1,28.048,0
192,0,1504,0,0,348,1,6.748,0
194,0,3192,0,0,798,1,4.6,0
195,271,1450,0,0,361,0,2.823,0
196,0,12,0,0,3,0,3.801,0
197,382,3940,24,12,945,2,10.105,0
202,386,7405,24,12,1777,7,39.339,0
207,0,41,0,0,10,0,9.412,0
208,1052,28087,0,0,7020,0,426.948,0
209,541,2172,0,0,543,0,85.786,0
210,468,1880,0,0,470,0,108.589,0
211,0,19496,0,0,4874,0,8.171,0
213,37,2278,0,0,568,0,9.412,0
215,6,2261,0,0,565,0,3.501,0
217,5,125,14,0,30,0,218.844,0
218,13,786,13,9,154,0,7.808,0
222,0,70,0,0,15,0,4.166,0
226,0,109,2,0,25,0,2.011,0
227,0,500,8,4,91,0,3.097,0
228,0,914,1,1,227,0,12.905,0
230,0,527,22,10,95,1,2.514,0
232,0,5471,24,0,1329,0,58.398,0
234,0,5467,24,0,1328,0,4.167,0
235,0,5468,24,0,1328,0,4.157,0
239,0,21,0,0,4,0,3.632,0
240,0,168,3,3,19,0,2.001,0
241,0,486,6,0,117,0,3.35,0
243,0,63,0,0,14,0,4.149,0
244,0,15751,1,7,1125,0,2.635,0
251,0,4103,84,0,594,5,15.052,0
253,0,1051,28,14,232,1,6.698,0
258,0,455,0,0,113,1,2.494,0
259,0,1172,0,0,188,11,2.581,0
266,56,495,2,0,123,0,2.288,0
270,47,2286,55,31,498,3,5.116,0
273,47,2178,55,31,472,3,3.221,0
274,54,2418,0,0,592,0,24.065,0
278,12985,772433,5120,2054,57015,674,1583.03,0
280,4,699,3,3,136,0,3.99,0
281,881,120747,2057,114,2125,293,26.566,0
282,2169,63474,341,253,10594,23,254.211,0
283,250,1993,5,5,397,1,7.64,0
284,682,5335,34,23,1252,7,130.304,0
291,0,271,0,0,40,0,2.323,0
292,170,135074,1232,1182,1809,60,36.38,0
293,50,1664,0,0,416,0,5.631,0
295,9882,706581,5083,2035,39998,669,905.79,0
296,38,474,0,0,118,0,3.913,0
299,40,572,0,0,135,0,2.99,0
303,1145,29440,43,9,6889,3,97.846,0
307,154,5022,30,8,1217,0,21.731,0
308,1390,82648,177,19,9359,139,78.311,0
310,210,4770,6,5,1057,1,11.507,0
313,164,14805,166,80,568,25,27.731,0
314,794,50043,478,227,1897,55,278.215,0
315,268,22151,215,116,724,25,24.343,0
318,49,1828,0,6,367,2,4.435,0
330,22,872,0,0,218,0,2.714,0
332,30,952,0,0,238,0,2.773,0
337,12,152,0,0,38,0,2.507,0
338,53,1447,0,0,319,1,2.182,0
340,21,957,0,0,231,0,2.48,0
342,142,6452,0,0,1613,0,14.719,0
347,25,1352,0,0,336,0,2.669,0
348,55,2142,0,0,531,0,5.213,0
350,21,964,0,0,241,0,4.265,0
351,225,13030,0,0,3245,0,30.652,0
353,22,3037,0,0,759,0,4.916,0
354,24,1357,0,0,331,0,5.019,0
356,8,212,0,0,53,0,4.85,0
361,1387,16668,0,0,4167,0,33.145,0
362,328,12600,0,0,3150,0,32.686,0
365,114,4680,0,0,1170,0,15.035,0
366,40,1492,0,0,373,0,5.586,0
368,61,768,0,0,192,0,5.538,0
369,44,2504,0,0,622,0,6.536,0
372,64,3044,0,0,754,3,6.194,0
373,23,1028,0,0,257,0,2.794,0
460,33,473,1,0,118,0,2.056,0
484,31,501,10,3,118,0,5.441,0
515,14,300,1,0,58,0,5.636,0
545,21,201,2,0,49,0,2.76,0
575,2,24,1,0,6,0,2.495,0
