Unnamed: 0,grants,size,packages,alters,commands,commits,time,md
0,14,6039,87,2,955,23,44.344,0
1,11,5811,87,2,902,17,8.766,0
2,11,193,0,0,43,2,1.982,0
3,0,36,0,0,9,0,0.488,0
4,0,23,0,0,0,0,0.419,0
5,0,49,0,0,0,0,0.408,0
6,0,76,0,0,19,7,1.023,0
7,0,16,2,2,4,0,2.535,0
8,0,4845,9,5,59,26,13.421,0
9,0,15,0,0,2,0,3.683,0
10,0,0,0,0,0,0,0.334,0
11,0,9,0,0,0,0,0.342,0
12,0,191,0,0,0,0,0.447,0
13,0,17,0,0,2,0,0.34,0
14,0,235,0,0,9,0,27.398,0
15,0,18,1,1,2,0,3.242,0
16,0,37,0,0,0,0,0.404,0
17,0,58,0,0,7,0,0.358,0
18,0,131,0,0,16,0,0.407,0
19,0,0,0,0,0,0,0.334,0
20,0,52,0,0,4,0,0.365,0
21,0,63,0,0,0,0,0.413,0
22,0,85,0,0,8,0,0.365,0
23,0,132,0,0,17,0,0.38,0
24,0,61,0,0,0,0,0.379,0
25,0,91,0,0,9,0,0.367,0
26,0,148,0,0,23,0,0.413,0
27,0,18,0,0,0,0,4.776,0
28,0,12,0,0,0,0,0.351,0
29,0,35,0,0,0,0,0.405,0
30,0,53,0,0,3,0,0.373,0
31,0,52,0,0,3,0,0.373,0
32,0,13,0,0,2,0,0.342,0
33,0,15,0,0,1,0,0.338,0
34,0,0,0,0,0,0,0.338,0
35,0,65,0,0,9,0,0.36,0
36,0,143,0,0,22,0,0.409,0
37,0,52,0,0,6,0,0.361,0
38,0,100,0,0,15,0,0.396,0
39,0,16,0,0,0,0,0.389,0
40,0,49,2,2,12,0,9.917,0
41,0,49,2,2,12,0,0.807,0
42,0,12,0,0,3,0,0.343,0
43,0,12,0,0,3,0,0.35,0
44,0,23,0,0,5,1,0.418,0
45,0,20,0,0,5,1,0.367,0
46,0,24,0,0,6,1,0.494,0
47,0,24,0,0,6,1,0.356,0
48,3,84,0,0,21,0,0.73,0
49,0,24,0,0,6,0,0.469,0
50,0,41,1,0,10,0,0.6,0
51,0,29,0,0,7,0,0.342,0
52,0,83,10,0,18,0,7.377,0
53,0,98,10,1,21,0,5.842,0
54,0,21,0,0,5,0,0.342,0
55,0,75,10,0,16,0,5.783,0
56,14,370,14,9,79,0,5.88,0
57,0,8,0,0,2,0,0.338,0
58,0,12,0,0,3,0,6.751,0
59,0,12,0,0,3,0,0.381,0
60,0,12,1,0,3,0,0.445,0
61,0,20,1,1,3,0,3.546,0
62,0,163,3,0,37,2,0.876,0
63,1,96,0,0,24,6,7.632,0
64,0,36,0,0,9,1,0.459,0
65,0,15,0,0,3,0,0.348,0
66,0,34,0,0,7,2,0.388,0
67,0,16,0,0,4,1,0.351,0
68,8,276,1,0,57,2,0.77,0
69,0,370,28,0,10,0,0.85,0
70,80,27222,65,6,5200,85,58.481,0
71,112,12579,54,6,2155,61,22.692,0
72,0,208,0,0,43,0,0.757,0
73,14,3369,35,1,552,20,4.863,0
74,0,53,0,0,8,1,0.424,0
75,4,1025,13,0,173,8,1.678,0
76,0,20,0,0,5,0,0.423,0
77,11,100,0,0,22,0,0.485,0
78,12,248,0,0,62,0,0.786,0
79,72,300,0,0,75,0,1.671,0
80,96,1164,0,0,291,0,2.078,0
81,47,2164,0,0,541,0,5.649,0
82,83,1020,0,0,255,0,3.753,0
83,0,529,0,0,76,1,0.886,0
84,0,29,0,0,5,0,0.362,0
85,12,164,0,0,41,0,1.596,0
86,0,0,0,0,0,0,0.347,0
87,3104,68249,14,5,17004,8,177.03,0
88,6,310,0,0,73,0,0.678,0
89,14,430,0,0,102,3,1.21,0
90,6,80,0,0,20,0,0.665,0
91,6,276,0,0,69,0,0.733,0
92,0,113,0,0,17,0,0.388,0
93,0,23,0,0,5,0,0.367,0
94,0,16,0,0,4,0,0.378,0
95,164,4421,0,0,1100,0,9.164,0
96,0,89,0,0,20,1,1.205,0
97,0,16,0,0,4,0,0.423,0
98,0,20,0,0,5,0,0.382,0
99,0,213,0,0,33,0,0.763,0
100,0,29,0,0,6,0,0.859,0
101,0,217,0,0,21,0,0.967,0
102,21,270,0,0,47,0,0.825,0
103,4,76,0,0,19,0,1.44,0
104,3,68,0,0,17,0,0.464,0
105,3,92,0,0,20,0,0.486,0
106,1,48,0,0,9,0,0.402,0
107,2,36,0,0,9,0,0.388,0
108,39,2396,0,0,592,3,3.745,0
109,148,2912,0,0,638,0,3.985,0
110,147,2903,0,0,638,0,4.372,0
111,15,271,3,0,59,0,1.416,0
112,148,2912,0,0,638,0,5.691,0
113,779,15417,27,15,3435,0,25.992,0
114,21,2074,0,0,376,0,4.917,0
115,758,14893,0,0,3322,0,16.756,0
116,294,4120,0,0,1030,0,5.477,0
117,10,139,0,0,31,0,0.838,0
118,14,236,0,0,53,0,1.099,0
119,14,194,0,0,47,0,0.99,0
120,0,16,0,0,4,0,1.167,0
121,21,335,4,2,80,0,1.779,0
122,5,83,0,0,17,0,0.406,0
123,6,80,0,0,20,0,0.412,0
124,8,88,0,0,22,0,0.888,0
125,11,148,0,0,27,0,0.525,0
126,8,128,0,0,27,0,1.813,0
127,51,2366,2,0,587,3,7.549,0
128,0,52,0,0,4,0,0.343,0
129,1,32,4,2,8,0,0.387,0
130,24,570,0,0,112,0,1.507,0
131,0,33,0,0,1,0,0.342,0
132,3,116,2,1,26,0,0.506,0
133,0,8,1,1,1,0,0.406,0
134,20,812,0,0,203,0,1.442,0
135,0,1,0,0,0,0,0.33,0
136,0,83,0,0,13,1,0.728,0
137,1,47,0,0,11,0,0.38,0
138,4,136,0,0,34,0,1.397,0
139,0,12,1,0,3,0,0.344,0
140,0,39,3,1,9,0,0.357,0
141,6,257,0,0,59,2,0.776,0
142,8,177,0,0,39,0,0.541,0
143,0,357,0,0,51,0,0.394,0
144,3,36,0,0,9,0,0.428,0
145,0,11628,0,0,2907,4,5.216,0
146,1,23,0,0,5,0,0.384,0
147,25,755,0,0,188,3,1.564,0
148,2,88,2,2,19,0,13.467,0
149,0,18,0,0,0,0,0.343,0
150,0,57,1,1,7,0,0.414,0
151,0,24,0,0,6,0,6.877,0
152,0,29,0,0,5,0,0.36,0
153,34,171,0,0,41,0,0.982,0
154,4,75,0,0,18,0,0.443,0
155,162,1108,0,0,274,0,2.541,0
156,561,4236,0,0,1055,2,7.09,0
157,20,776,0,0,194,0,1.433,0
158,30,988,0,0,247,0,1.846,0
159,0,8,0,0,2,0,0.332,0
160,0,623,0,0,133,0,1.443,0
161,3,125,0,0,29,0,0.494,0
162,0,27,0,0,5,0,0.357,0
163,176,1532,2,2,293,0,6.583,0
164,21,272,0,0,46,0,0.889,0
165,2,79,0,0,19,0,0.463,0
166,14,128,1,0,31,0,2.09,0
167,24,1004,0,0,251,0,2.776,0
