
a1102000, 14, 6039, 87, 2, 955, 23
a1201000, 11, 5811, 87, 2, 902, 17
a1202000, 11, 193, 0, 0, 43, 2
a18, 0, 36, 0, 0, 9, 0
addmrpti, 0, 23, 0, 0, 0, 0
addmrpt, 0, 49, 0, 0, 0, 0
addmtmig, 0, 76, 0, 0, 19, 7
after_apply_script_30657706, 0, 16, 2, 2, 4, 0
apex_to_common, 0, 4845, 9, 5, 59, 26
approot_to_pdb, 0, 15, 0, 0, 2, 0
ashrptinoop, 0, 0, 0, 0, 0, 0
ashrptipdb, 0, 9, 0, 0, 0, 0
ashrpti, 0, 191, 0, 0, 0, 0
ashrptistd, 0, 17, 0, 0, 2, 0
ashrpt, 0, 235, 0, 0, 9, 0
awrblmig, 0, 18, 1, 1, 2, 0
awrddinp, 0, 37, 0, 0, 0, 0
awrddrpi, 0, 58, 0, 0, 7, 0
awrddrpt, 0, 131, 0, 0, 16, 0
awrextr_pre20, 0, 0, 0, 0, 0, 0
awrextr, 0, 52, 0, 0, 4, 0
awrgdinp, 0, 63, 0, 0, 0, 0
awrgdrpi, 0, 85, 0, 0, 8, 0
awrgdrpt, 0, 132, 0, 0, 17, 0
awrginp, 0, 61, 0, 0, 0, 0
awrgrpti, 0, 91, 0, 0, 9, 0
awrgrpt, 0, 148, 0, 0, 23, 0
awrinfo, 0, 18, 0, 0, 0, 0
awrinpnm, 0, 12, 0, 0, 0, 0
awrinput, 0, 35, 0, 0, 0, 0
awrload_18, 0, 53, 0, 0, 3, 0
awrload, 0, 52, 0, 0, 3, 0
awrmacro, 0, 13, 0, 0, 2, 0
awrrptidc, 0, 15, 0, 0, 1, 0
awrrptinoop, 0, 0, 0, 0, 0, 0
awrrpti, 0, 65, 0, 0, 9, 0
awrrpt, 0, 143, 0, 0, 22, 0
awrsqrpi, 0, 52, 0, 0, 6, 0
awrsqrpt, 0, 100, 0, 0, 15, 0
awrupd12, 0, 16, 0, 0, 0, 0
bug28628592_apply, 0, 49, 2, 2, 12, 0
bug28628592_rollback, 0, 49, 2, 2, 12, 0
bug29261906_apply, 0, 12, 0, 0, 3, 0
bug29261906_rollback, 0, 12, 0, 0, 3, 0
bug29394140_apply, 0, 23, 0, 0, 5, 1
bug29394140_rollback, 0, 20, 0, 0, 5, 1
bug29416700_apply, 0, 24, 0, 0, 6, 1
bug29416700_rollback, 0, 24, 0, 0, 6, 1
bug_29443559_apply, 3, 84, 0, 0, 21, 0
bug_29443559_rollback, 0, 24, 0, 0, 6, 0
bug_29784106_postpatchrem, 0, 41, 1, 0, 10, 0
bug_29784106_postpatch, 0, 29, 0, 0, 7, 0
bug_29784106_prepatchrem, 0, 83, 10, 0, 18, 0
bug_29784106_prepatch, 0, 98, 10, 1, 21, 0
bug_29784106_startq, 0, 21, 0, 0, 5, 0
bug_29784106_stopq, 0, 75, 10, 0, 16, 0
bug31092921_apply, 14, 370, 14, 9, 79, 0
bug31092921_rollback, 0, 8, 0, 0, 2, 0
bug31115653_postapply, 0, 12, 0, 0, 3, 0
bug31115653_postrollback, 0, 12, 0, 0, 3, 0
bug31374373, 0, 12, 1, 0, 3, 0
bug31414524, 0, 20, 1, 1, 3, 0
bug_32005048_rollback, 0, 163, 3, 0, 37, 2
bug_32080081_apply, 1, 96, 0, 0, 24, 6
bug_32080081_rollback, 0, 36, 0, 0, 9, 1
bug_32124176_apply, 0, 15, 0, 0, 3, 0
bug_32124176_rollback, 0, 34, 0, 0, 7, 2
bug_32218552_apply, 0, 16, 0, 0, 4, 1
bug_32218552_rollback, 8, 276, 1, 0, 57, 2
bugfix16173764, 0, 370, 28, 0, 10, 0
c1102000, 80, 27222, 65, 6, 5200, 85
c1201000, 112, 12579, 54, 6, 2155, 61
c1201000_wrr, 0, 208, 0, 0, 43, 0
c1202000, 14, 3369, 35, 1, 552, 20
c1202000_wrr, 0, 53, 0, 0, 8, 1
c18, 4, 1025, 13, 0, 173, 8
c18_wrr, 0, 20, 0, 0, 5, 0
cataclsrv, 11, 100, 0, 0, 22, 0
catactx, 12, 248, 0, 0, 62, 0
catadmprvs, 72, 300, 0, 0, 75, 0
catadrvw, 96, 1164, 0, 0, 291, 0
catadt, 47, 2164, 0, 0, 541, 0
catadv, 83, 1020, 0, 0, 255, 0
catadvtb, 0, 529, 0, 0, 76, 1
cataitb, 0, 29, 0, 0, 5, 0
cataivw, 12, 164, 0, 0, 41, 0
catalogses, 0, 0, 0, 0, 0, 0
catalog, 3104, 68249, 14, 5, 17004, 8
catalrt, 6, 310, 0, 0, 73, 0
catamgt, 14, 430, 0, 0, 102, 3
catappcdbviews, 6, 80, 0, 0, 20, 0
catappcontainer, 6, 276, 0, 0, 69, 0
catappcontainertab, 0, 113, 0, 0, 17, 0
catappcont, 0, 23, 0, 0, 5, 0
catapp_mig, 0, 16, 0, 0, 4, 0
catapp, 164, 4421, 0, 0, 1100, 0
catappupgbeg1, 0, 89, 0, 0, 20, 1
catappupgbeg2, 0, 16, 0, 0, 4, 0
catappupgend, 0, 20, 0, 0, 5, 0
catappupgpre, 0, 213, 0, 0, 33, 0
catapt, 0, 29, 0, 0, 6, 0
cataqalt121, 0, 217, 0, 0, 21, 0
cataqjms, 21, 270, 0, 0, 47, 0
cataqsch, 4, 76, 0, 0, 19, 0
catar, 3, 68, 0, 0, 17, 0
catatsk, 3, 92, 0, 0, 20, 0
catatsktb, 1, 48, 0, 0, 9, 0
catatskvw, 2, 36, 0, 0, 9, 0
cataudit, 39, 2396, 0, 0, 592, 3
catawrcdbvw, 148, 2912, 0, 0, 638, 0
catawrpdbvw, 147, 2903, 0, 0, 638, 0
catawrpd, 15, 271, 3, 0, 59, 0
catawrrtvw, 148, 2912, 0, 0, 638, 0
catawr, 779, 15417, 27, 15, 3435, 0
catawrtb, 21, 2074, 0, 0, 376, 0
