,time,size,grants,revokes,subcalls,gvs,mds,loads
0,0.381,1806,0,0,1,1,0,0
1,0.36,17261,1,0,1,9,0,0
2,0.379,53531,0,0,1,110,0,3
3,0.341,1370,0,0,1,0,0,0
4,0.592,21709,8,0,1,16,0,0
5,2.218,210931,148,0,16,317,0,21
6,2.127,202840,147,0,16,315,0,21
7,7.303,119530,294,0,1,441,0,3
8,0.369,72479,1,0,1,0,0,0
9,0.385,234915,2,0,1,9,0,6
10,0.371,21,1,0,1,12,0,1
11,0.352,22,0,0,1,0,0,9
12,0.349,8613,0,0,0,0,0,0
13,19.539,355284,50,0,2,502,0,8
14,5.715,172136,26,0,2,55,0,0
15,2.14,81461,83,0,1,104,0,2
16,1.106,19697,12,0,1,29,0,2
17,0.385,21,2,0,1,11,0,0
18,0.37,21,0,0,1,607,0,24
19,0.36,21,0,0,1,210,0,13
20,0.359,21,0,0,1,222,0,2
21,0.35,22,0,0,1,135,0,158
22,0.344,21,0,0,1,5,0,28
23,0.362,22,10,3,1,703,0,17
24,0.41,23,0,0,0,31,0,1
25,0.344,23,0,0,1,13,0,0
26,7.952,4637,1,0,9,0,0,0
27,0.354,22,1,0,1,13,0,6
28,0.341,23,0,0,1,0,0,0
29,0.348,22,1,0,1,12,0,1
30,0.344,22,1,0,1,0,0,0
31,0.349,22,0,0,1,14,0,0
32,0.37,21,4,0,1,308,0,367
33,0.678,578414,0,0,1,977,12,63
34,0.36,2693,0,0,1,1,0,0
35,0.391,3713,3,6,1,2,0,0
36,0.368,2651,0,0,1,2,0,0
37,0.367,2060,0,0,1,0,4,0
38,216.325,6586,0,0,8,0,10,0
39,0.968,413538,1,0,1,238,768,4
40,0.82,69779,7,0,1,26,127,0
41,0.367,21,0,0,1,230,0,322
42,0.359,22,3,0,1,0,0,0
43,0.391,426777,0,0,1,0,0,0
44,0.344,22,0,0,1,0,0,0
45,0.357,22,12,0,1,175,0,5
46,1.032,7061,0,2,4,2,7,1
47,27.067,2187,0,0,11,0,1,0
48,4.357,17818,0,0,1,5,10,1
49,0.448,87122,1,0,1,6,21,6
50,5.485,5136,0,0,14,3,2,0
51,0.362,7810,1,0,1,3,11,0
52,28.448,3745,0,0,31,3,2,0
53,0.443,39460,1,0,1,1,5,0
54,0.363,17944,0,1,1,0,41,0
55,0.369,361899,1,0,1,40,1587,0
56,0.375,41585,0,0,1,0,43,0
57,61.287,2423,0,0,0,3,1,0
58,0.379,21,1,0,1,305,0,301
59,0.383,22,0,0,1,1629,0,134
60,1.207,22,0,0,1,159,0,40
61,0.357,22,1,0,1,0,0,9
62,0.442,22,2,0,1,190,0,7
63,0.396,22,2,0,1,279,0,10
64,1.491,135886,1,0,1,5,0,0
65,1.165,22,7,2,1,98,0,0
66,2.613,34239,271,0,1,232,0,0
67,0.394,3230,2,0,1,5,0,0
68,0.715,15635,1,0,1,0,0,0
69,0.355,26,0,0,1,16,3,0
70,0.349,22,0,0,1,32,0,13
71,0.374,21,0,0,1,322,0,124
72,5.94,4875,0,0,2,0,0,1
73,0.556,1908,0,0,1,1,0,0
74,0.351,1031,0,0,2,0,0,0
75,0.887,24437,7,0,4,23,0,0
76,0.373,22,0,0,1,47,0,0
77,0.354,22,0,0,1,123,0,0
78,0.354,22,1,0,1,140,0,3
79,0.353,22,0,0,1,88,0,0
80,2.997,22,20,2,1,278,0,101
81,0.357,22,0,0,1,4,0,0
82,0.345,22,0,0,1,6,0,12
83,1.347,133084,4,0,1,10,0,3
84,0.374,22,1,0,1,14,0,0
85,5.314,214539,21,0,1,43,0,14
